,881001.WI,000001.SH,HSTECH.HI,399102.SZ,000300.SH
2009/1/5,1430.793,1849.02,,,1848.326
2009/1/6,1486.1136,1878.827,,,1880.672
2009/1/7,1533.1956,1938.974,,,1942.671
2009/1/8,1530.2023,1890.242,,,1894.664
2009/1/9,1496.3386,1875.164,,,1886.488
2009/1/12,1526.0046,1897.703,,,1911.736
2009/1/13,1532.6343,1880.868,,,1892.655
2009/1/14,1495.7859,1862.31,,,1873.626
2009/1/15,1557.2196,1912.772,,,1935.386
2009/1/16,1562.3286,1928.922,,,1965.44
2009/1/19,1584.4375,1971,,,2010.579
2009/1/20,1596.2539,1981.147,,,2006.525
2009/1/21,1609.8495,1965.944,,,1993.67
2009/1/22,1605.8326,1996.086,,,2034.286
2009/1/23,1626.0684,2001.172,,,2039.522
2009/2/2,1618.8582,2008.134,,,2052.439
2009/2/3,1648.2607,2011.77,,,2056.795
2009/2/4,1689.7445,2068.086,,,2118.563
2009/2/5,1731.1626,2106.835,,,2164.546
2009/2/6,1715.0173,2102.078,,,2158.084
2009/2/9,1784.7722,2211.317,,,2271.593
2009/2/10,1834.1404,2218.489,,,2288.071
2009/2/11,1865.4177,2230.49,,,2287.232
2009/2/12,1870.326,2265.789,,,2335.401
2009/2/13,1874.5706,2249.185,,,2321.56
2009/2/16,1939.6035,2338.758,,,2421.187
2009/2/17,1985.515,2387.354,,,2460.569
2009/2/18,1918.4017,2271.26,,,2331.662
2009/2/19,1835.2311,2224.49,,,2295.653
2009/2/20,1860.3833,2234.365,,,2300.806
2009/2/23,1904.6025,2249.289,,,2333.809
2009/2/24,1959.897,2273.755,,,2376.697
2009/2/25,1873.5916,2222.506,,,2325.039
2009/2/26,1876.9362,2201.672,,,2295.426
2009/2/27,1772.6082,2100.063,,,2164.54
2009/3/2,1711.6703,2066.229,,,2123.367
2009/3/3,1737.5874,2047.213,,,2109.841
2009/3/4,1730.1986,2076.616,,,2150.239
2009/3/5,1841.6871,2220.15,,,2314.079
2009/3/6,1857.4594,2180.788,,,2260.756
2009/3/9,1843.645,2205.746,,,2302.011
2009/3/10,1772.0095,2097.139,,,2175.306
2009/3/11,1807.3876,2199.983,,,2288.053
2009/3/12,1794.2286,2127.726,,,2208.041
2009/3/13,1793.281,2148.418,,,2229.25
2009/3/16,1782.4777,2122.408,,,2197.248
2009/3/17,1810.2043,2156.774,,,2244.11
2009/3/18,1874.5575,2227.981,,,2335.417
2009/3/19,1887.0389,2227.344,,,2337.524
2009/3/20,1927.8315,2272.437,,,2389.892
2009/3/23,1923.4618,2286.246,,,2384.67
2009/3/24,1968.694,2359.679,,,2477.567
2009/3/25,1981.022,2333.163,,,2435.633
2009/3/26,1937.1666,2296.047,,,2407.762
2009/3/27,1995.1011,2380.626,,,2500.998
2009/3/30,2011.5227,2377.964,,,2501.312
2009/3/31,2006.582,2313.883,,,2436.778
2009/4/1,2026.4078,2380.979,,,2519.886
2009/4/2,2057.6682,2417.217,,,2558.768
2009/4/3,2073.1357,2446.124,,,2597.916
2009/4/7,2063.1602,2422.1,,,2570.625
2009/4/8,2074.1763,2429.879,,,2563.722
2009/4/9,1997.9828,2345.009,,,2477.419
2009/4/10,2030.7097,2400.014,,,2540.108
2009/4/13,2093.5957,2468.083,,,2621.979
2009/4/14,2136.542,2512.009,,,2651.197
2009/4/15,2160.8674,2514.591,,,2662.728
2009/4/16,2177.2383,2542.336,,,2690.515
2009/4/17,2180.7097,2524.626,,,2675.668
2009/4/20,2152.6477,2500.173,,,2643.726
2009/4/21,2202.3171,2523.262,,,2670.277
2009/4/22,2184.1729,2548.105,,,2687.857
2009/4/23,2096.0049,2440.676,,,2555.527
2009/4/24,2109.4617,2477.156,,,2605.703
2009/4/27,2092.3784,2443.436,,,2566.92
2009/4/28,2033.5148,2382.884,,,2490.526
2009/4/29,2044.009,2401.658,,,2518.854
2009/4/30,2106.6289,2477.928,,,2616.485
2009/5/4,2126.0664,2486.685,,,2635.129
2009/5/5,2197.8037,2577.429,,,2733.107
2009/5/6,2212.7683,2563.564,,,2721.817
2009/5/7,2243.772,2612.123,,,2783.577
2009/5/8,2239.551,2586.759,,,2751.499
2009/5/11,2253.5981,2646.287,,,2808.139
2009/5/12,2192.4109,2562.363,,,2702.742
2009/5/13,2243.9802,2629.031,,,2792.42
2009/5/14,2262.6072,2631.445,,,2781.048
