,881001.WI,000001.SH,HSTECH.HI,399102.SZ,000300.SH
2009/1/5,10207919200,6713671500,,,4818702000
2009/1/6,14960537600,9906675600,,,7097409700
2009/1/7,14006768000,9236008600,,,5970216700
2009/1/8,12216952000,8037400000,,,5344649000
2009/1/9,11222448000,7122477900,,,4740721600
2009/1/12,13165132800,8364555700,,,5423415600
2009/1/13,11682996000,7383646000,,,4981813700
2009/1/14,13333311200,8791805100,,,5928323100
2009/1/15,17522169600,11598440900,,,7894364800
2009/1/16,19752889600,13297253800,,,9653863300
2009/1/19,15913448000,10940136100,,,8194817700
2009/1/20,11426220800,7456538900,,,5325926200
2009/1/21,13587148800,8728919800,,,6411742800
2009/1/22,13672230400,8828449500,,,5886194700
2009/1/23,13109042400,8596770600,,,5750410900
2009/2/2,13279243200,8476627200,,,5145390600
2009/2/3,20883916800,13440769400,,,8764030200
2009/2/4,23145867200,15178586700,,,10088842800
2009/2/5,25483539200,16535219700,,,11510012200
2009/2/6,25038155200,16086018900,,,10666490400
2009/2/9,29881011200,19231268600,,,12952367000
2009/2/10,27044515200,17258736100,,,11629454800
2009/2/11,32361827200,20932807400,,,14757663700
2009/2/12,26957200000,17397684800,,,11982621800
2009/2/13,30674828800,19971551200,,,14040991000
2009/2/16,32150464000,21142761000,,,15234666900
2009/2/17,30084441600,19811783600,,,14101499100
2009/2/18,24648233600,16246187900,,,11542206200
2009/2/19,19995772800,12984405000,,,9085392800
2009/2/20,20065900800,12893810500,,,8663206900
2009/2/23,24696435200,16028911800,,,10946540300
2009/2/24,28723232000,18385310600,,,12701755500
2009/2/25,23746443200,15237689800,,,10787752800
2009/2/26,22949515200,14863885200,,,10220038500
2009/2/27,18898272000,12290521000,,,8707641500
2009/3/2,13737224000,8746258700,,,6274618100
2009/3/3,15360891200,9778172800,,,6616731400
2009/3/4,22992035200,15481127500,,,11075003300
2009/3/5,26810801600,18244110500,,,13198734700
2009/3/6,18584336000,12386323300,,,8596545000
2009/3/9,18683288000,12430064700,,,8655594800
2009/3/10,12737803200,8394026200,,,5666044900
2009/3/11,15740425600,10372345300,,,7083867600
2009/3/12,13409875200,8721315100,,,5570011100
2009/3/13,12765759200,8350488700,,,5408309400
2009/3/16,11282804000,7338263500,,,4877385400
2009/3/17,19997452800,13080542300,,,9298052800
2009/3/18,22952880000,14699459900,,,10187007100
2009/3/19,22123030400,14582231900,,,9731876600
2009/3/20,23230673600,15052366400,,,10939673800
2009/3/23,24713846400,16006023500,,,11631304900
2009/3/24,24756404800,16272708100,,,11199352500
2009/3/25,22067083200,14484246900,,,9581666000
2009/3/26,22729123200,15855682200,,,11324945200
2009/3/27,27113328000,18652838900,,,13536854600
2009/3/30,20967112000,13988060600,,,9415166500
2009/3/31,21202126400,14269549800,,,9546175200
2009/4/1,27280864000,17985761900,,,12630762500
2009/4/2,28225801600,18838598300,,,13514680600
2009/4/3,25555724800,17025168400,,,12365521600
2009/4/7,18950049600,12420922300,,,8608325700
2009/4/8,22123244800,14680915700,,,9932809400
2009/4/9,17446419200,11323497600,,,7459370300
2009/4/10,24329132800,15749119600,,,10414440800
2009/4/13,28848857600,19134493200,,,13901454100
2009/4/14,25958108800,16518009300,,,11049130400
2009/4/15,27942931200,18108568800,,,12066529200
2009/4/16,28809910400,18616311900,,,12372961300
2009/4/17,24900974400,16159359500,,,10152880800
2009/4/20,23442700800,14790425100,,,9590369400
2009/4/21,25721598400,16462154200,,,10818525200
2009/4/22,28916524800,19398409600,,,12404641300
2009/4/23,19029300800,12611975600,,,8088794200
2009/4/24,17475073600,11379684500,,,7336096900
2009/4/27,17120400000,11300818300,,,7203939000
2009/4/28,14528470400,9481529600,,,5926498300
2009/4/29,18967915200,12653072200,,,8188500600
2009/4/30,20131019200,13115416800,,,8580934800
2009/5/4,23068923200,15336999000,,,10291656500
2009/5/5,23918081600,15842228300,,,10231372200
2009/5/6,24484435200,16070858300,,,10580665000
2009/5/7,27779398400,18181146000,,,12210116100
2009/5/8,25094208000,16192097600,,,10672498800
2009/5/11,27173900800,17824835900,,,12536445200
2009/5/12,18605870400,12300596000,,,8869594200
2009/5/13,22149315200,14583600600,,,10711285600
2009/5/14,19376720000,12476244200,,,8263932900
2009/5/15,17470939200,11089018200,,,6493143100
2009/5/18,18153024000,11904889400,,,7483578600
2009/5/19,22829224000,14746609700,,,9770361700
2009/5/20,21679908800,13824586100,,,8793921500
2009/5/21,21344409600,13892698100,,,8553539400
2009/5/22,15339166400,9914729800,,,6149901200
2009/5/25,17777768000,11200078500,,,7409167100
2009/5/26,18375084800,11451467000,,,7231601200
2009/5/27,15985680000,10316772000,,,6797664500
2009/6/1,21476740800,14795955100,,,10856488300
2009/6/2,23084139200,15635605800,,,10833839700
2009/6/3,23422323200,15568165800,,,11207331000
2009/6/4,25390854400,17087892100,,,13012771000
2009/6/5,22129131200,14664811300,,,10847632400
2009/6/8,20023076800,13323144700,,,9611636600
2009/6/9,20215696000,13260156700,,,9198988600
2009/6/10,22103476800,14526718800,,,10179003900
2009/6/11,20252971200,13411487700,,,8711599700
2009/6/12,19420912000,12769465100,,,8006706700
2009/6/15,15988068800,10622501300,,,7435209000
2009/6/16,15584891200,10338332700,,,7017924200
2009/6/17,17468992000,11078374200,,,7729311800
2009/6/18,20951611200,13884269400,,,9628131600
2009/6/19,22869272000,15302336200,,,10251806900
2009/6/22,21804297600,14697220000,,,10395258300
2009/6/23,21097508800,14446526700,,,11150673400
2009/6/24,20808984000,14057426000,,,10942431300
2009/6/25,18532028800,11961302000,,,8280688700
2009/6/26,16921142400,10956072000,,,7050090800
2009/6/29,19613836800,12854377400,,,8499707500
2009/6/30,18938147200,12581395800,,,8678234700
2009/7/1,20837777600,13825013300,,,9695056500
2009/7/2,24155406400,16196028400,,,11298929400
2009/7/3,24463376000,15946794600,,,10573259200
2009/7/6,27130950400,18323731600,,,13526404900
2009/7/7,26501273600,17877574100,,,12960079900
2009/7/8,23079476800,15548918100,,,11386759200
2009/7/9,25522846400,16728788200,,,11308152300
2009/7/10,25110753600,16116226900,,,10617491200
2009/7/13,24204292800,15661005700,,,9961965100
2009/7/14,25027673600,16168847900,,,10752042500
2009/7/15,29351984000,19591147900,,,13348300200
2009/7/16,28811952000,19123018400,,,12931332900
2009/7/17,24823670400,16469067200,,,10654970400
2009/7/20,29813654400,19887079500,,,13646853900
2009/7/21,29622217600,19756589700,,,13060096100
2009/7/22,25429934400,16821304300,,,11523854600
2009/7/23,25490681600,16639775200,,,11638160900
2009/7/24,28220748800,18973867600,,,12797935200
2009/7/27,28502502400,19762363400,,,13880804000
2009/7/28,30915312000,20424581900,,,14626788500
2009/7/29,34356595200,27580119700,,,16740612600
2009/7/30,28740038400,19801021300,,,13496887900
2009/7/31,28279571200,19371437500,,,13223983400
2009/8/3,30330758400,20081370600,,,13641589900
2009/8/4,32083971200,21149015400,,,14103573900
2009/8/5,30387014400,20250254300,,,13344445300
2009/8/6,26749430400,17482737400,,,11810152500
2009/8/7,23135614400,15316000700,,,10057575100
2009/8/10,18975187200,12668373800,,,8487068100
2009/8/11,15615216000,10375229700,,,6449719700
2009/8/12,20097924800,13444746300,,,9253538600
2009/8/13,17311180800,11693422600,,,8708180000
2009/8/14,18832888000,12581559200,,,8824862700
2009/8/17,18662537600,12505895900,,,9172390200
2009/8/18,15409934400,10625152600,,,7734303500
2009/8/19,17107952000,11446946400,,,8160402000
2009/8/20,16694612800,11003908600,,,7951921600
2009/8/21,19063400000,12679030100,,,8661680500
2009/8/24,18913811200,12287572100,,,8041406800
2009/8/25,21798768000,14523618000,,,9753013900
2009/8/26,20104537600,13042535400,,,8203640400
2009/8/27,20959017600,13674590400,,,8012520100
2009/8/28,18131990400,12304850000,,,8401794600
2009/8/31,17748904000,11824625000,,,8451731100
2009/9/1,14787033600,9804258500,,,7053530600
2009/9/2,12554352800,8393471400,,,6084338600
2009/9/3,19168748800,12989025100,,,9315744700
2009/9/4,19310232000,12888993600,,,8698471500
2009/9/7,19903745600,13118281200,,,8279074000
2009/9/8,19461771200,12792938400,,,8396563400
2009/9/9,20228528000,13075449400,,,9119115500
2009/9/10,16407052800,10589485700,,,6656600700
2009/9/11,18574904000,12324666600,,,8068966000
2009/9/14,22284780800,14371122500,,,8739388300
2009/9/15,22436905600,14446775500,,,8709217700
2009/9/16,22729177600,14741577800,,,8824448100
2009/9/17,24406600000,16074039100,,,9133340400
2009/9/18,26044025600,16807658400,,,10048840400
2009/9/21,18960844800,13623198000,,,7280197400
2009/9/22,19068745600,12407469900,,,7342510100
2009/9/23,16707505600,10762636200,,,6601371600
2009/9/24,15563196800,10254132600,,,6515210200
2009/9/25,11502419200,7516760100,,,4582049200
2009/9/28,11000451200,7187458600,,,4191835200
2009/9/29,11270556000,7356553900,,,4593235200
2009/9/30,10060255200,6483325400,,,4218452400
2009/10/9,12960088000,8554655500,,,5687104000
2009/10/12,13519264000,8818663100,,,5896196000
2009/10/13,12301933600,7999790400,,,5071370400
2009/10/14,19351553600,12963014800,,,8097812000
2009/10/15,15287803200,9861758700,,,6056201000
2009/10/16,14495507200,9222279900,,,5563625500
2009/10/19,19162040000,12061559800,,,7768314300
2009/10/20,22339937600,14365118700,,,8942627800
2009/10/21,21374707200,13548277000,,,8348894000
2009/10/22,17244014400,10303148800,,,6093658300
2009/10/23,22234793600,13860090200,,,8672542900
2009/10/26,18734649600,11482611800,,,6844252400
2009/10/27,18240348800,12088675700,,,7420955100
2009/10/28,16235028800,10097313800,,,6259484900
2009/10/29,17196707200,11028223400,,,6130535400
2009/10/30,16769665600,10479218700,,,6064706200
2009/11/2,21568569600,13728611000,,,8198115800
2009/11/3,24570358400,15055225800,,,8379109800
2009/11/4,24000700800,14537026800,,,8606527300
2009/11/5,22690457600,14546576600,,,8064778400
2009/11/6,25836212800,16349081400,,,9219031500
2009/11/9,22011705600,13918983500,,,7805090400
2009/11/10,22560505600,14244801900,,,8430098700
2009/11/11,19886684800,12682170100,,,7262632100
2009/11/12,21666268800,13803304700,,,7996266100
2009/11/13,22747478400,15114749400,,,9121017100
2009/11/16,30231328000,20037898100,,,12315732300
2009/11/17,25546676800,16603730500,,,9739136800
2009/11/18,24872753600,15866395200,,,8922628300
2009/11/19,27265750400,17461964800,,,9494009500
2009/11/20,27577494400,17607402500,,,9475075100
2009/11/23,26534054400,16953159000,,,9399094100
2009/11/24,38613180800,25021155400,,,14756682200
2009/11/25,29504470400,18902673700,,,11460232900
2009/11/26,34301068800,21797883800,,,12788237900
2009/11/27,23707105600,14880272700,,,8929468800
2009/11/30,21652361600,13886026300,,,8441534100
2009/12/1,25629592000,16527976700,,,10151863900
2009/12/2,27531920000,17505136300,,,9805203300
2009/12/3,25109035200,15921998800,,,8997857200
2009/12/4,32647219200,21594507200,,,13413090100
2009/12/7,21327830400,13987600100,,,9122554600
2009/12/8,21784590400,13706557300,,,8294086400
2009/12/9,18087600000,11509503000,,,6852150700
2009/12/10,15010097600,9430651600,,,5756373800
2009/12/11,14886363200,9154294500,,,5455091200
2009/12/14,18024345600,11824332100,,,8378502100
2009/12/15,16326921600,10148456700,,,6918649300
2009/12/16,14731678400,10387351300,,,5696391200
2009/12/17,16142846400,10564658600,,,6328620100
2009/12/18,15768633600,10186637600,,,6611101500
2009/12/21,11438116800,7456812600,,,4832980500
2009/12/22,13083443200,8508078700,,,5394268500
2009/12/23,12114229600,8005813400,,,4806450400
2009/12/24,15824566400,10240620400,,,6437782300
2009/12/25,13248272000,8454578300,,,4691457600
2009/12/28,14423041600,9121160800,,,5537539000
2009/12/29,14971393600,10261263700,,,5553576500
2009/12/30,19249249600,12945603900,,,8842937000
2009/12/31,17173627200,11652040200,,,6924189000
2010/1/4,16825809600,10944792700,,,6610108000
2010/1/5,19902710400,12611506600,,,8580964100
2010/1/6,19430168000,12365138400,,,7847312500
2010/1/7,19705929600,12865282700,,,8035003700
2010/1/8,15651548800,9837714700,,,6079025300
2010/1/11,20738478400,13632721600,,,8998017200
2010/1/12,21839104000,14065524100,,,9374327800
2010/1/13,24350361600,15834427800,,,11245790100
2010/1/14,21918868800,13595450400,,,8335325200
2010/1/15,19527065600,12054113500,,,7254310200
2010/1/18,21116174400,13506723800,,,8285430700
2010/1/19,20709748800,12994353200,,,7488323200
2010/1/20,24940611200,15824311200,,,9249514600
2010/1/21,17458835200,11433707900,,,7059506800
2010/1/22,20652220800,13775853800,,,8893340400
2010/1/25,12392997600,7836186200,,,5684917100
2010/1/26,14567608000,9350709200,,,6175223100
2010/1/27,11963740800,7655221400,,,5269139400
2010/1/28,11252439200,7336576700,,,4699071600
2010/1/29,13206940800,8047587500,,,5026261300
2010/2/1,14298649600,8814711400,,,5700138000
2010/2/2,12958399200,8248578900,,,5013003300
2010/2/3,16235614400,10102253700,,,6479889400
2010/2/4,16578744000,9991836400,,,5897272600
2010/2/5,16344084800,9727498900,,,5910584500
2010/2/8,10527968000,6329958200,,,3735595100
2010/2/9,9800287200,6228220700,,,3595315800
2010/2/10,8964500800,5558800500,,,3421989400
2010/2/11,8973567200,5664630500,,,3579105200
2010/2/12,8773130400,5609212400,,,3405823800
2010/2/22,10664208000,6850514300,,,3828377200
2010/2/23,12609394400,8039285800,,,4274289800
2010/2/24,15432451200,9291896200,,,4998943700
2010/2/25,19330806400,11967078100,,,6758661700
2010/2/26,16391800000,10129629100,,,5210728800
2010/3/1,18193804800,11103887800,,,6050452000
2010/3/2,17840723200,10532764700,,,5703437400
2010/3/3,19329172800,11715651900,,,6062273200
2010/3/4,21181936000,12638388900,,,6934681000
2010/3/5,14794785600,9225966500,,,4562913800
2010/3/8,13164101600,8101195000,,,4154087600
2010/3/9,15142896000,9238180300,,,5419948600
2010/3/10,13786560000,8461295300,,,4642107900
2010/3/11,12820066400,7987219500,,,4748775400
2010/3/12,11776509600,7141891200,,,3995734400
2010/3/15,10245044000,6374976800,,,3784430400
2010/3/16,9502518400,5962799100,,,3084778000
2010/3/17,14047635200,8708569900,,,4580093400
2010/3/18,14706574400,9137912400,,,4694801300
2010/3/19,14277960000,8848118900,,,4606218700
2010/3/22,15472958400,9649941100,,,4943946200
2010/3/23,14907499200,9286719000,,,4653953600
2010/3/24,14886147200,8926636500,,,4454796600
2010/3/25,15178710400,9019054200,,,4498428500
2010/3/26,14386016000,9307771600,,,4744496500
2010/3/29,19141982400,13189511400,,,8472491000
2010/3/30,15982385600,10243151500,,,5643698000
2010/3/31,16021595200,10114335100,,,5312428700
2010/4/1,20506624000,12677921300,,,6777266900
2010/4/2,19905812800,12278938300,,,6907345200
2010/4/6,19044454400,11681470300,,,6519171000
2010/4/7,16913438400,10352157000,,,5401122800
2010/4/8,18730446400,11464338900,,,6218532200
2010/4/9,17324358400,10542596000,,,5128056700
2010/4/12,22721081600,13796270100,,,7456515000
2010/4/13,23915862400,14398204000,,,7990769500
2010/4/14,17941062400,10643584700,,,6030613100
2010/4/15,18150273600,10626390800,,,6105168500
2010/4/16,13820180800,8093491800,,,4714036800
2010/4/19,21134227200,12936050500,,,8841630000
2010/4/20,17386107200,10173224900,,,6413785900
2010/4/21,19699228800,11630851400,,,6692833100
2010/4/22,20463214400,12172666400,,,7108168800
