,881001.WI,000001.SH,HSTECH.HI,399102.SZ,000300.SH
2009/1/5,1486.1136,1880.716,,,1882.959
2009/1/6,1533.1956,1937.145,,,1942.795
2009/1/7,1530.2023,1924.012,,,1931.178
2009/1/8,1496.3386,1878.181,,,1887.991
2009/1/9,1526.0046,1904.861,,,1918.365
2009/1/12,1532.6343,1900.347,,,1920.687
2009/1/13,1495.7859,1863.367,,,1876.185
2009/1/14,1557.2196,1928.869,,,1955.244
2009/1/15,1562.3286,1920.206,,,1954.874
2009/1/16,1584.4375,1954.438,,,1990.214
2009/1/19,1596.2539,1986.672,,,2012.465
2009/1/20,1609.8495,1994.107,,,2025.19
2009/1/21,1605.8326,1985.016,,,2021.71
2009/1/22,1626.0684,2004.951,,,2044.551
2009/1/23,1618.8582,1990.657,,,2032.682
2009/2/2,1648.2607,2011.683,,,2057.063
2009/2/3,1689.7445,2060.808,,,2108.91
2009/2/4,1731.1626,2107.749,,,2166.414
2009/2/5,1715.0173,2098.018,,,2150.971
2009/2/6,1784.7722,2181.239,,,2237.28
2009/2/9,1834.1404,2224.714,,,2296.672
2009/2/10,1865.4177,2265.161,,,2326.755
2009/2/11,1870.326,2260.82,,,2331.138
2009/2/12,1874.5706,2248.091,,,2318.343
2009/2/13,1939.6035,2320.792,,,2399.065
2009/2/16,1985.515,2389.387,,,2462.245
2009/2/17,1918.4017,2319.441,,,2385.293
2009/2/18,1835.2311,2209.862,,,2275.843
2009/2/19,1860.3833,2227.125,,,2298.412
2009/2/20,1904.6025,2261.478,,,2344.32
2009/2/23,1959.897,2305.777,,,2410.481
2009/2/24,1873.5916,2200.654,,,2301.849
2009/2/25,1876.9362,2206.574,,,2304.251
2009/2/26,1772.6082,2121.251,,,2190.185
2009/2/27,1711.6703,2082.852,,,2140.489
2009/3/2,1737.5874,2093.447,,,2164.666
2009/3/3,1730.1986,2071.431,,,2142.154
2009/3/4,1841.6871,2198.107,,,2285.149
2009/3/5,1857.4594,2221.076,,,2304.919
2009/3/6,1843.645,2193.007,,,2286.576
2009/3/9,1772.0095,2118.748,,,2202.527
2009/3/10,1807.3876,2158.568,,,2240.782
2009/3/11,1794.2286,2139.025,,,2220.38
2009/3/12,1793.281,2133.881,,,2215.7
2009/3/13,1782.4777,2128.848,,,2205.422
2009/3/16,1810.2043,2153.291,,,2241.614
2009/3/17,1874.5575,2218.326,,,2322.403
2009/3/18,1887.0389,2223.725,,,2332.652
2009/3/19,1927.8315,2265.759,,,2382.564
2009/3/20,1923.4618,2281.087,,,2379.838
2009/3/23,1968.694,2325.48,,,2439.395
2009/3/24,1981.022,2338.42,,,2451.783
2009/3/25,1937.1666,2291.555,,,2401.327
2009/3/26,1995.1011,2361.704,,,2479.789
2009/3/27,2011.5227,2374.438,,,2498.931
2009/3/30,2006.582,2358.04,,,2484.487
2009/3/31,2026.4078,2373.213,,,2507.789
2009/4/1,2057.6682,2408.017,,,2548.222
2009/4/2,2073.1357,2425.291,,,2576.4
2009/4/3,2063.1602,2419.778,,,2570.503
2009/4/7,2074.1763,2439.182,,,2576.95
2009/4/8,1997.9828,2347.385,,,2479.348
2009/4/9,2030.7097,2379.876,,,2517.669
2009/4/10,2093.5957,2444.226,,,2595.53
2009/4/13,2136.542,2513.701,,,2656.518
2009/4/14,2160.8674,2527.181,,,2676.872
2009/4/15,2177.2383,2536.056,,,2686.99
2009/4/16,2180.7097,2534.134,,,2687.106
2009/4/17,2152.6477,2503.935,,,2650.691
2009/4/20,2202.3171,2557.456,,,2707.667
2009/4/21,2184.1729,2535.828,,,2675.442
2009/4/22,2096.0049,2461.346,,,2576.281
2009/4/23,2109.4617,2463.954,,,2593.564
2009/4/24,2092.3784,2448.595,,,2572.888
2009/4/27,2033.5148,2405.348,,,2513.292
2009/4/28,2044.009,2401.438,,,2518.531
2009/4/29,2106.6289,2468.192,,,2605.37
2009/4/30,2126.0664,2477.569,,,2622.926
