,881001.WI,000001.SH,HSTECH.HI,399102.SZ,000300.SH
2009/1/5,1430.793,1844.094,,,1837.839
2009/1/6,1477.5227,1871.971,,,1873.011
2009/1/7,1525.8435,1920.515,,,1930.868
2009/1/8,1484.3112,1862.263,,,1873.648
2009/1/9,1495.3783,1875.164,,,1886.488
2009/1/12,1517.7883,1886.833,,,1905.617
2009/1/13,1494.6108,1861.811,,,1874.974
2009/1/14,1493.6937,1862.309,,,1873.626
2009/1/15,1539.0913,1902.542,,,1930.295
2009/1/16,1562.3286,1928.922,,,1965.44
2009/1/19,1580.3348,1966.188,,,1993.95
2009/1/20,1578.0549,1956.102,,,1986.061
2009/1/21,1582.0107,1960.529,,,1988.241
2009/1/22,1602.233,1980.438,,,2012.738
2009/1/23,1613.5437,1986.348,,,2025.188
2009/2/2,1618.8582,1987.129,,,2029.717
2009/2/3,1643.7838,2005.022,,,2049.889
2009/2/4,1689.7445,2067.786,,,2117.024
2009/2/5,1702.4792,2082.596,,,2135.67
2009/2/6,1715.0173,2102.078,,,2158.084
2009/2/9,1784.7722,2196.708,,,2257.49
2009/2/10,1807.2203,2197.007,,,2263.532
2009/2/11,1825.3748,2218.297,,,2275.574
2009/2/12,1810.7717,2191.887,,,2248.484
2009/2/13,1868.1597,2236.178,,,2307.09
2009/2/16,1934.1519,2328.179,,,2397.181
2009/2/17,1918.1633,2316.934,,,2384.787
2009/2/18,1833.3667,2206.062,,,2272.505
2009/2/19,1827.0402,2190.473,,,2259.593
2009/2/20,1845.2632,2206.211,,,2276.298
2009/2/23,1880.1128,2219.714,,,2307.921
2009/2/24,1867.4119,2193.268,,,2294.522
2009/2/25,1816.5344,2142.601,,,2226.444
2009/2/26,1752.842,2102.346,,,2167.149
2009/2/27,1694.2847,2064.918,,,2117.061
2009/3/2,1692.41,2052.992,,,2112.336
2009/3/3,1685.9628,2037.024,,,2100.644
2009/3/4,1730.1986,2076.616,,,2150.239
2009/3/5,1819.8633,2173.491,,,2259.8
2009/3/6,1817.5227,2171.668,,,2255.818
2009/3/9,1768.7474,2116.453,,,2198.545
2009/3/10,1745.7014,2088.162,,,2168.324
2009/3/11,1787.5829,2133.141,,,2212.882
2009/3/12,1741.7814,2086.018,,,2156.598
2009/3/13,1779.0098,2124.979,,,2200.974
2009/3/16,1764.2385,2108.612,,,2180.051
2009/3/17,1807.6711,2151.776,,,2239.668
2009/3/18,1874.5575,2221.588,,,2328.856
2009/3/19,1886.2622,2220.164,,,2331.259
2009/3/20,1892.9005,2250.405,,,2343.269
2009/3/23,1919.1936,2276.81,,,2375.522
2009/3/24,1968.694,2327.43,,,2440.527
2009/3/25,1937.1666,2291.359,,,2401.052
2009/3/26,1917.7532,2274.895,,,2379.951
2009/3/27,1995.1011,2361.091,,,2481.687
