,881001.WI,000001.SH,HSTECH.HI,399102.SZ,000300.SH
2009/1/5,1486.1136,1880.716,,,1882.959
2009/1/6,1536.6702,1938.69,,,1948.489
2009/1/7,1546.0684,1948.233,,,1959.246
2009/1/8,1530.2023,1894.171,,,1902.796
2009/1/9,1528.5051,1909.349,,,1923.423
2009/1/12,1552.8522,1924.441,,,1947.083
2009/1/13,1532.6343,1888.309,,,1908.196
2009/1/14,1557.2196,1929.276,,,1955.244
2009/1/15,1579.8093,1937.728,,,1977.191
2009/1/16,1611.0696,1984.728,,,2026.647
2009/1/19,1622.5403,2018.51,,,2052.19
2009/1/20,1609.8495,1994.809,,,2025.19
2009/1/21,1624.1478,2007.911,,,2047.105
2009/1/22,1628.6182,2009.851,,,2048.484
2009/1/23,1635.8636,2008.788,,,2054.326
2009/2/2,1648.4631,2012.742,,,2059.338
2009/2/3,1689.7445,2060.925,,,2108.944
2009/2/4,1731.1626,2108.257,,,2166.414
2009/2/5,1757.5618,2149.476,,,2211.179
2009/2/6,1786.8213,2185.086,,,2240.021
2009/2/9,1840.8584,2238.894,,,2307.907
2009/2/10,1865.5624,2266.398,,,2327.1
2009/2/11,1910.137,2305.705,,,2381.193
2009/2/12,1883.2085,2274.201,,,2344.659
2009/2/13,1941.8546,2323.12,,,2402.436
2009/2/16,1985.515,2389.878,,,2462.389
2009/2/17,1987.1565,2402.807,,,2470.623
2009/2/18,1918.4017,2295.741,,,2369.053
2009/2/19,1875.8754,2247.616,,,2324.675
2009/2/20,1904.8016,2262.332,,,2344.77
2009/2/23,1966.1388,2313.594,,,2419.533
2009/2/24,1962.6852,2295.59,,,2411.906
2009/2/25,1903.7787,2234.018,,,2337.423
2009/2/26,1898.6064,2237.547,,,2332.346
2009/2/27,1772.6082,2123.244,,,2186.819
2009/3/2,1745.5101,2102.112,,,2177.294
2009/3/3,1749.7856,2088.628,,,2168.222
2009/3/4,1844.7349,2201.727,,,2290.94
2009/3/5,1882.5343,2241.761,,,2340.371
2009/3/6,1862.5376,2221.04,,,2313.2
2009/3/9,1876.047,2232.674,,,2333.98
2009/3/10,1807.9022,2159.268,,,2241.238
2009/3/11,1847.8033,2203.534,,,2292.396
2009/3/12,1796.8495,2136.795,,,2220.303
2009/3/13,1817.7328,2166.022,,,2250.239
2009/3/16,1812.8997,2158.9,,,2247.11
2009/3/17,1879.9618,2225.192,,,2329.298
2009/3/18,1916.5719,2255.009,,,2370.558
2009/3/19,1928.2302,2268.144,,,2386.228
2009/3/20,1935.7412,2294.117,,,2397.207
2009/3/23,1973.8645,2329.183,,,2448.351
2009/3/24,1999.644,2369.454,,,2483.833
2009/3/25,1994.2386,2355.69,,,2472.938
2009/3/26,1995.1851,2362.048,,,2479.826
2009/3/27,2023.3634,2392.769,,,2516.384
2009/3/30,2022.1089,2380.194,,,2508.138
2009/3/31,2026.4078,2375.712,,,2507.899
2009/4/1,2070.5784,2422.625,,,2566.536
2009/4/2,2092.1487,2450.003,,,2599.252
2009/4/3,2094.0356,2456.811,,,2612.37
2009/4/7,2083.1411,2449.537,,,2597.062
2009/4/8,2074.1763,2435.388,,,2573.093
2009/4/9,2030.7097,2380.935,,,2517.741
2009/4/10,2093.5957,2444.981,,,2595.598
2009/4/13,2143.7046,2522.445,,,2668.282
2009/4/14,2165.0757,2532.089,,,2682.908
2009/4/15,2177.2383,2542.54,,,2690.642
2009/4/16,2196.1809,2549.312,,,2706.625
2009/4/17,2186.4033,2539.352,,,2693.291
2009/4/20,2202.6582,2559.036,,,2708.452
2009/4/21,2202.3171,2552.598,,,2697.719
2009/4/22,2212.2764,2579.218,,,2713.305
2009/4/23,2119.4165,2474.146,,,2604.162
2009/4/24,2122.0186,2481.527,,,2609.874
2009/4/27,2094.8452,2452.928,,,2576.519
2009/4/28,2048.7195,2411.438,,,2531.544
2009/4/29,2112.7766,2477.725,,,2615.81
2009/4/30,2136.8635,2491.072,,,2640.017
2009/5/4,2197.8037,2560.544,,,2715.189
2009/5/5,2224.6223,2590.776,,,2751.252
2009/5/6,2245.9456,2596.925,,,2771.206
2009/5/7,2265.5093,2622.112,,,2797.474
2009/5/8,2262.3357,2634.061,,,2800.223
2009/5/11,2279.0999,2663.95,,,2839.609
2009/5/12,2243.9802,2619.692,,,2788.612
2009/5/13,2269.5591,2670.213,,,2822.711
2009/5/14,2262.6072,2651.488,,,2804.477
2009/5/15,2275.0952,2661.366,,,2815.456
2009/5/18,2276.2056,2656.844,,,2813.757
2009/5/19,2302.9905,2688.112,,,2849.629
